Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
359938	-16	48	-1104	18300	13200	79350	359917	395.3423
360008	144	-80	-976	17700	12900	80400	359987	395.2472
360040	32	112	-992	18750	12900	80400	360019	394.6051
360088	160	-176	-976	17850	13350	80100	360067	395.7386
360143	-128	-16	-1648	17850	13950	80400	360121	394.7583
360190	64	-32	-656	19050	12900	79950	360169	395.9209
360258	112	-352	592	18600	12600	79500	360235	395.2472
360292	96	0	-992	18150	13350	79800	360271	395.0939
360341	128	176	-1536	18300	11850	79950	360320	394.7583
360389	48	-112	-976	18150	13200	80250	360367	393.8705
360456	-48	16	-928	17850	12900	80400	360435	395.7386
360492	128	-128	-848	18150	12900	80100	360469	396.5366
360538	0	-32	-864	17700	12600	80250	360517	395.4031
360594	80	-64	-1152	17700	12750	79650	360571	395.3423
360641	32	16	-1024	18750	12150	80100	360619	395.5854
360709	256	-208	-4656	18000	12300	80250	360687	394.8508
360743	80	0	-1072	19650	13050	80550	360721	395.4031
360792	176	80	-976	18300	12750	80700	360769	395.1573
360839	80	-64	-1152	18450	12750	80400	360817	395.4929
360894	48	-272	-1248	18450	12600	80250	360871	394.5126
360964	128	128	-1072	17850	13050	79800	360942	395.3423
360998	32	-272	-944	18900	12450	80700	360975	395.3423
361043	48	-16	-992	17850	12600	79950	361021	395.0939
361092	80	-80	-992	18150	13050	80100	361069	395.8945
361139	32	-48	-1072	18750	12600	80400	361117	395.4929
361208	64	-128	-1024	18450	13200	79800	361183	395.0015
361240	80	-80	-1184	17850	12900	81000	361219	395.6752
361289	208	-48	-832	17700	11700	79800	361267	395.0939
361342	384	-48	-1040	17850	12450	80850	361321	394.9407
361408	64	-224	-880	18300	13050	80250	361387	395.2472
361441	240	-128	-1392	18600	13050	80100	361418	395.0015
361492	112	-288	-608	18900	12450	80700	361471	395.4929
361542	128	0	-1360	18000	12600	79800	361519	395.4929
361588	96	-144	-992	18450	12450	80550	361567	395.0939
361656	64	-128	-1056	18000	12900	80700	361635	394.7583
361690	32	-80	-976	17850	12150	80100	361669	395.802
361740	112	-64	-1024	18150	13050	80850	361717	394.6051
361793	32	-64	-992	18900	13650	80250	361772	394.8191
361841	112	-48	-1488	18750	13500	80250	361819	395.2472
362016	-64	0	-1232	19050	12150	80400	361995	395.0675
362049	-32	80	-688	18150	12900	80400	362026	394.975
362080	160	-176	-896	18450	12450	79650	362058	394.7583
362112	0	-96	-992	18150	13050	80250	362090	395.2472
362146	32	96	-2800	19500	13050	80700	362122	395.0675
362212	-32	-80	-992	18750	11850	80850	362190	394.7583
362246	16	-32	-1024	17400	12600	80400	362223	394.9116
362280	224	-32	-1040	18300	12750	80550	362259	394.8191
362312	-32	-32	-1056	18300	12750	80850	362290	395.5563
362381	192	-80	-992	18750	12000	80100	362358	395.802
