millis	ax	ay	az	mx	my	mz
11534	872	-324	-456	-68700	9750	-34350
11588	864	-328	-448	-68250	9300	-33600
11636	864	-332	-456	-67500	9900	-33900
11693	860	-336	-456	-67950	9900	-34350
11738	868	-328	-460	-67950	9750	-33450
11786	864	-332	-452	-69150	9750	-34200
11834	864	-328	-452	-68400	9300	-33750
11888	868	-340	-456	-69000	9300	-34200
11936	864	-344	-452	-69000	8850	-33450
11993	864	-332	-452	-68550	9000	-34050
12038	860	-336	-464	-69150	9750	-33750
12086	872	-332	-460	-68250	9150	-34200
12134	864	-332	-460	-69150	9150	-33900
12188	860	-324	-456	-69000	8400	-33600
12236	868	-332	-460	-68400	10050	-32850
12284	856	-324	-452	-68100	9450	-33150
12342	868	-336	-488	-67800	9600	-33900
12386	876	-328	-460	-68550	9300	-33900
12434	864	-332	-444	-68850	9300	-33450
12488	856	-332	-440	-67950	8700	-33000
12536	880	-336	-456	-69000	8850	-33150
12584	872	-336	-480	-69300	9150	-33000
12693	876	-332	-452	-68700	10050	-32850
12709	864	-328	-448	-69150	9600	-33900
12734	872	-336	-460	-68250	9750	-33000
12788	864	-336	-456	-68250	9000	-33750
12836	868	-328	-452	-69150	9900	-33300
12884	872	-332	-456	-69150	9150	-33150
12939	868	-344	-452	-67950	10050	-34350
12999	860	-328	-464	-67800	9300	-33450
13034	852	-332	-456	-68250	9750	-33300
13088	868	-332	-456	-68700	9750	-33450
13137	868	-328	-456	-68100	9600	-33750
13184	864	-336	-448	-68250	9300	-33750
13309	868	-332	-448	-69450	9900	-33300
13337	868	-328	-452	-69300	9450	-33600
13370	860	-336	-464	-68400	9900	-33450
13388	864	-332	-456	-67500	9900	-34200
13437	864	-336	-456	-68400	9900	-33600
13484	868	-332	-452	-69300	9450	-34050
13538	864	-332	-452	-68700	9300	-33750
13586	860	-332	-456	-68850	9000	-33150
13641	868	-332	-452	-68400	9600	-33300
13688	868	-328	-460	-68100	9900	-33900
13736	864	-328	-448	-68100	10050	-33000
13784	856	-328	-456	-68400	9900	-33750
13839	868	-340	-456	-68700	9150	-33900
13886	872	-324	-464	-68250	10050	-32550
13935	868	-328	-456	-68100	9300	-32850
14021	876	-328	-468	-68100	9150	-33450
14036	864	-336	-440	-68400	9600	-32850
14084	864	-336	-456	-69450	10200	-33900
14138	864	-328	-460	-68550	9000	-33600
14186	860	-336	-456	-68700	10350	-33750
14234	868	-336	-492	-69150	8700	-33300
14289	880	-328	-468	-69150	9000	-32700
14336	860	-336	-460	-68550	9000	-32700
14384	872	-340	-452	-68850	10350	-32550
14438	868	-328	-408	-68550	8550	-34050
14641	864	-332	-456	-67800	9150	-34050
14652	872	-324	-436	-68850	9450	-32250
14665	872	-324	-436	-68850	9450	-32250
14721	860	-328	-472	-69000	9900	-32550
14738	864	-332	-456	-68400	9300	-33000
14749	876	-328	-448	-68400	9300	-33000
14786	864	-328	-456	-68700	10050	-34200
14834	864	-328	-460	-68850	9600	-33150
14888	868	-336	-456	-69000	10200	-34350
14946	856	-332	-436	-68550	10200	-33750
14985	864	-340	-460	-68400	9150	-33750
15038	864	-328	-456	-68700	9600	-33900
15087	868	-324	-460	-69450	9750	-33900
15134	864	-332	-448	-68850	8850	-33300
15188	868	-328	-452	-68700	8550	-33900
15238	868	-332	-452	-68550	9450	-33600
15321	872	-324	-456	-69300	9450	-33000
15338	872	-328	-456	-68700	9450	-33000
15386	868	-332	-448	-67950	9300	-33600
15434	864	-332	-452	-67950	10650	-33150
15489	860	-328	-452	-68700	8700	-33900
